,mass_A,,
t,y,vy,v
2.23E+00,4.71E-01,非數值,非數值
2.27E+00,4.49E-01,-7.69E-01,7.77E-01
2.30E+00,4.20E-01,-1.23E+00,1.23E+00
2.33E+00,3.68E-01,-1.54E+00,1.54E+00
2.37E+00,3.17E-01,-1.98E+00,1.98E+00
2.40E+00,2.36E-01,-2.34E+00,2.34E+00
2.43E+00,1.62E-01,-2.53E+00,2.53E+00
2.47E+00,6.62E-02,-3.19E+00,3.19E+00
2.50E+00,-5.15E-02,-3.68E+00,3.68E+00
2.53E+00,-1.77E-01,-4.06E+00,4.07E+00
2.57E+00,-3.24E-01,-4.72E+00,4.73E+00
2.60E+00,-4.93E-01,-4.91E+00,4.91E+00
2.63E+00,-6.48E-01,-5.38E+00,5.38E+00
2.67E+00,-8.54E-01,-6.26E+00,6.26E+00
2.70E+00,-1.07E+00,-7.14E+00,7.14E+00
2.73E+00,-1.32E+00,-3.41E+00,3.41E+00
2.77E+00,-1.30E+00,3.30E+00,3.30E+00
2.80E+00,-1.10E+00,5.46E+00,5.46E+00
2.83E+00,-9.35E-01,5.05E+00,5.05E+00
2.87E+00,-7.66E-01,4.50E+00,4.50E+00
2.90E+00,-6.33E-01,3.79E+00,3.79E+00
2.93E+00,-5.15E-01,3.19E+00,3.19E+00
2.97E+00,-4.20E-01,2.75E+00,2.75E+00
3.00E+00,-3.31E-01,2.57E+00,2.57E+00
3.03E+00,-2.50E-01,1.87E+00,1.87E+00
3.07E+00,-2.06E-01,1.21E+00,1.21E+00
3.10E+00,-1.69E-01,1.34E+00,1.34E+00
3.13E+00,-1.18E-01,9.89E-01,9.95E-01
3.17E+00,-1.03E-01,3.30E-01,5.49E-01
3.20E+00,-9.57E-02,-1.12E-01,1.12E-01
3.23E+00,-1.10E-01,-1.21E+00,1.21E+00
3.27E+00,-1.77E-01,-1.65E+00,1.65E+00
3.30E+00,-2.21E-01,-1.67E+00,1.67E+00
3.33E+00,-2.87E-01,-2.42E+00,2.43E+00
3.37E+00,-3.83E-01,-2.86E+00,2.86E+00
3.40E+00,-4.78E-01,-3.12E+00,3.12E+00
3.43E+00,-5.89E-01,-3.52E+00,3.52E+00
3.47E+00,-7.14E-01,-4.39E+00,4.39E+00
3.50E+00,-8.83E-01,-4.80E+00,4.80E+00
3.53E+00,-1.03E+00,-5.27E+00,5.27E+00
3.57E+00,-1.24E+00,-6.15E+00,6.16E+00
3.60E+00,-1.44E+00,-1.34E+00,1.34E+00
3.63E+00,-1.32E+00,4.06E+00,4.07E+00
3.67E+00,-1.17E+00,4.39E+00,4.41E+00
3.70E+00,-1.03E+00,4.35E+00,4.35E+00
3.73E+00,-8.83E-01,3.95E+00,3.95E+00
3.77E+00,-7.66E-01,2.97E+00,2.97E+00
3.80E+00,-6.85E-01,2.34E+00,2.34E+00
3.83E+00,-6.11E-01,2.09E+00,2.09E+00
3.87E+00,-5.45E-01,1.54E+00,1.55E+00
3.90E+00,-5.08E-01,1.12E+00,1.12E+00
3.93E+00,-4.71E-01,8.79E-01,9.06E-01
3.97E+00,-4.49E-01,0.00E+00,2.20E-01
4.00E+00,-4.71E-01,-6.69E-01,6.69E-01
4.03E+00,-4.93E-01,-5.49E-01,5.60E-01
4.07E+00,-5.08E-01,-6.59E-01,6.68E-01
4.10E+00,-5.37E-01,-1.34E+00,1.38E+00
4.13E+00,-5.96E-01,-2.09E+00,2.11E+00
4.17E+00,-6.77E-01,-2.42E+00,2.42E+00
4.20E+00,-7.58E-01,-2.68E+00,2.71E+00
4.23E+00,-8.54E-01,-3.52E+00,3.53E+00
4.27E+00,-9.94E-01,-4.06E+00,4.07E+00
4.30E+00,-1.13E+00,-4.80E+00,4.80E+00
4.33E+00,-1.31E+00,-5.71E+00,5.71E+00
4.37E+00,-1.51E+00,-1.54E+00,1.57E+00
4.40E+00,-1.41E+00,3.23E+00,3.24E+00
4.43E+00,-1.30E+00,3.95E+00,3.95E+00
4.47E+00,-1.15E+00,3.74E+00,3.74E+00
4.50E+00,-1.05E+00,3.57E+00,3.57E+00
4.53E+00,-9.13E-01,2.64E+00,2.64E+00
4.57E+00,-8.69E-01,1.76E+00,1.76E+00
4.60E+00,-7.95E-01,1.56E+00,1.56E+00
4.63E+00,-7.66E-01,9.89E-01,9.95E-01
4.67E+00,-7.29E-01,7.69E-01,8.00E-01
4.70E+00,-7.14E-01,1.12E-01,1.58E-01
4.73E+00,-7.21E-01,-7.69E-01,7.69E-01
4.77E+00,-7.66E-01,-1.32E+00,1.34E+00
4.80E+00,-8.10E-01,-1.23E+00,1.25E+00
4.83E+00,-8.46E-01,-1.54E+00,1.54E+00
4.87E+00,-9.13E-01,-2.75E+00,2.75E+00
4.90E+00,-1.03E+00,-3.23E+00,3.23E+00
4.93E+00,-1.13E+00,-3.19E+00,3.20E+00
4.97E+00,-1.24E+00,-4.28E+00,4.30E+00
5.00E+00,-1.41E+00,-5.58E+00,5.58E+00
5.03E+00,-1.61E+00,-1.43E+00,1.49E+00
5.07E+00,-1.51E+00,3.52E+00,3.53E+00
5.10E+00,-1.38E+00,4.13E+00,4.13E+00
5.13E+00,-1.24E+00,3.63E+00,3.64E+00
5.17E+00,-1.13E+00,2.64E+00,2.64E+00
5.20E+00,-1.06E+00,2.12E+00,2.12E+00
5.23E+00,-9.94E-01,8.79E-01,8.79E-01
5.27E+00,-1.00E+00,7.69E-01,8.00E-01
5.30E+00,-9.42E-01,1.00E+00,1.01E+00
5.33E+00,-9.35E-01,0.00E+00,3.30E-01
5.37E+00,-9.42E-01,-6.59E-01,6.68E-01
5.40E+00,-9.79E-01,-1.23E+00,1.23E+00
5.43E+00,-1.02E+00,-1.21E+00,1.21E+00
5.47E+00,-1.06E+00,-2.31E+00,2.31E+00
5.50E+00,-1.18E+00,-3.35E+00,3.35E+00
5.53E+00,-1.28E+00,-3.30E+00,3.30E+00
5.57E+00,-1.40E+00,-4.17E+00,4.19E+00
5.60E+00,-1.56E+00,-2.68E+00,2.68E+00
